Dauerzaehlstellennummer;Dauerzaehlstellenname;Landesnummer;Landeskuerzel;Straßenklasse;Straßennummer;Straßennumernzusatz;Nahziel_Richtung_1;Himmelsrichtung_Richtung_1;Nahziel_Richtung_2;Himmelsrichtung_Richtung_2;Koordinaten_UTM32_E;Koordinaten_UTM32_N
9234;AD Werntal (O);9;BY;A;70;;AS Schweinfurt/Bergrheinfeld;O;AD Dreieck Werntal (A71);W;583698,426;5541643,553
9235;Untersiemau (N);9;BY;A;73;;AS Ebersdorf b.Coburg;N;AK Untersiemau;S;643366,897;5559113,123
9236;Untersiemau (S);9;BY;A;73;;AS Untersiemau;N;AS Lichtenfels-Nord;S;644065,994;5558162,986
9238;AK Oberpfälzer Wald (W);9;BY;A;6;;AK Kreuz Oberpfälzer Wald (A93);O;AS Nabburg-West;W;727965,000;5487565,500
9239;Amberg-Ost (W);9;BY;A;6;;AS Amberg-Ost;O;AS Amberg-Süd;W;715803,500;5476081,000
9242;München-Fröttmaning-Süd;9;BY;A;9;;AS München-Fröttmaning-Süd;N;AS München-Freimann;S;694586,000;5341866,000
9244;Neu-Keferloh;9;BY;A;99;;AS Haar;N;AS Hohenbrunn;S;703704,036;5328776,704
9250;Lindau (S);9;BY;A;96;;AS Lindau;O; GÜG Lindau-Autobahn;W;555334,500;5266305,500
9251;Pommersfelden (W);9;BY;A;3;;AS Höchstadt-Nord;N;AS Pommersfelden;S;630162,437;5510805,740
9252;Pommersfelden (O);9;BY;A;3;;AS Pommersfelden;N;AS Höchstadt-Ost;S;631715,882;5509420,229
9256;Knezgau (W);9;BY;A;70;;AS Knetzgau;O;AS Haßfurt;W;610586,857;5537885,459
9306;Ebensfeld;9;BY;A;73;;AS Bad Staffelstein;N;AS Ebensfeld;S;641181,675;5547557,708
9333;Röthenbach b.St.W. (O);9;BY;A;73;;AS Röthenbach b. St. W.;N;AS Feucht;S;658168,500;5470596,000
9452;AK Biebelried (S);9;BY;A;7;;AK Kreuz Biebelried (A3);N;AS Kitzingen;S;579130,930;5513715,327
9505;AS Aschaffenburg (W);9;BY;A;3;;AS Stockstadt (B469);N;AS Aschaffenburg-West (B8);S;504320,525;5537530,403
9506;AS-Aschaffenburg;9;BY;A;3;;AS Aschaffenburg-West (B8);N;AS Aschaffenburg-Ost (B26);S;511469,959;5537680,533
9507;AS Goldbach;9;BY;A;3;;AS Goldbach (B26);N;AS Hösbach (B26);S;515689,531;5538979,277
9508;AS Bessenbach-Waldaschaff;9;BY;A;3;;AS Bessenbach/Waldaschaff;N;AS Weibersbrunn;S;518738,500;5536881,000
9509;Weibersbrunn;9;BY;A;3;;AS Weibersbrunn;N;AS Rohrbrunn;S;525126,000;5531237,500
9510;AS Marktheidenfeld;9;BY;A;3;;AS Marktheidenfeld (B8);N;AS Wertheim/Lengfurt;S;541892,600;5517416,492
9511;AS Wertheim/Lengfurt;9;BY;A;3;;AS Wertheim/Lengfurt;N;AS Helmstadt (B468);S;551469,801;5513721,584
9512;AS-Würzburg-Randersacker;9;BY;A;3;;AS Würzburg/Randersacker (B13);N;AS Rottendorf (B8);S;576233,673;5512738,357
9513;AS Würzburg-Heidingsfeld;9;BY;A;3;;AS Würzburg-Heidingsfeld (B19);N;AS Würzburg/Randersacker (B13);S;569887,369;5510354,577
9515;AS Geiselwind;9;BY;A;3;;AS Geiselwind;N;AS Schlüsselfeld;S;612121,332;5513235,337
