Dauerzaehlstellennummer;Dauerzaehlstellenname;Landesnummer;Landeskuerzel;Straßenklasse;Straßennummer;Straßennumernzusatz;Nahziel_Richtung_1;Himmelsrichtung_Richtung_1;Nahziel_Richtung_2;Himmelsrichtung_Richtung_2;Koordinaten_UTM32_E;Koordinaten_UTM32_N
5373;Olpe-Altenkleusheim;5;NW;B;54;; L711, Olpe (B55);N; Abzweig L729;S;424099,504;5651297,156
5374;Kreuztal-Buschhütten;5;NW;B;54;; Kreuztal (B508);N; Buschhütten (K28);S;429585,520;5644561,268
5375;Warstein Süd;5;NW;B;55;; Warstein (L735);O; Abzweig L856;W;454435,762;5697239,852
5376;Ascheberg West;5;NW;B;58;; Ascheberg;O; Lüdinghausen (B235);W;395520,802;5737662,937
5377;Linteler See;5;NW;B;61;; Abzweig L568;N; B64, Rheda-Wiedenbrück;S;454303,870;5745912,260
5378;Bad Driburg Süd;5;NW;B;64;; Bad Driburg (L957);O; Abzweig K18;W;500366,697;5730740,133
5379;Heek Ost;5;NW;B;70;; Abzweig L579, Metelen;N; Heek;S;372359,558;5775828,623
5380;Lünten;5;NW;B;70;; Alstätte;N; Vreden (L560);S;352601,314;5772062,912
5381;Raesfeld West;5;NW;B;70;; Raesfeld, B224;N; L401, Brünen;S;349235,150;5737142,871
5382;Beverungen-Wehrden;5;NW;B;83;; Godelheim (B64);N; Beverungen (B241);S;525294,782;5731305,620
5383;Altenhundem;5;NW;B;236;; Meggen;N; Lennestadt;S;434388,181;5662650,888
5384;Bever;5;NW;B;241;; Beverungen (B83);O; L838, Dalhausen;W;524574,613;5723224,405
5385;Ladbergen Nord;5;NW;B;475;; AS Ladbergen (A1);N; Ladbergen (L597);S;413410,836;5777998,382
5386;Ostwestfalendamm;5;NW;B;61;; Bielefeld-Johannistal (L778);N; Bielefeld-Quelle (L756);S;466535,000;5762343,000
5432;Brüggen (N);5;NW;B;221;; Brüggen;N; L372;S;304473,968;5678560,789
5506;St. Mauritz;5;NW;B;481;; L588;N; L843;S;409396,385;5763315,833
5627;AK Bonn Ost (S);5;NW;B;42;;AK Kreuz Bonn-Ost (A59);N;AS Königswinter (L268);S;370605,000;5620363,000
6001;Allendorf;6;HE;B;27;; Bad Sooden-Allendorf;N; Abzweig B249;S;569122,000;5679064,000
6003;Isenburger Kreisel;6;HE;B;44;; Nordkreisel (B43);N; Südkreisel (A3);S;474834,500;5545260,500
6007;Usingen;6;HE;B;275;; AS Ober-Mörlen, Abzweig A5;O; Usingen, Abzweig B456;W;468231,000;5575931,500
6011;Wetzlar-Zentrum;6;HE;B;49;; Abzweig Wetzlar Am Forum;O; Abzweig Wetzlar Bannstraße;W;464940,500;5601435,000
6019;Hanau-Steinheim Süd;6;HE;B;45;; Abzweig K200;N; Abzweig B43a;S;492539,500;5548542,500
6054;Oberursel;6;HE;B;455;; Oberursel;O; Königstein, Abzweig B8;W;466951,500;5562021,000
6101;Wallau 1;6;HE;B;62;; Biedenkopf-Ludwigshütte, Abzweig B253;O; Breitenstein, Abzweig B253;W;462683,022;5641211,889
6102;Wächtersbach;6;HE;B;276;; Birstein;N; Wächtersbach;S;521933,784;5568058,515
6103;Rüdesheim;6;HE;B;42;; Rüdesheim;N; Eltville;S;424229,581;5537016,162
6105;Hoheneiche;6;HE;B;27;; Wehretal-Oetmannshausen, Abzweig B7;N; Wehretal-Oetmannshausen, Abzweig B452;S;568325,800;5665500,128
6107;Wallau 2;6;HE;B;253;; Abzweig B62;O; Dillenburg, Abzweig B277;W;462598,554;5640915,812
6109;Ahlbach;6;HE;B;49;; Weilburg, Abzweig B456;O; AS Limburg-Nord, Abzweig A3;W;434777,000;5585521,500
6110;Lorchhausen;6;HE;B;42;; Kaub;N; Lorch;S;412431,000;5546463,000
6112;Tannenmühlkreisel;6;HE;B;45;; Abzweig Obertshausen, Abzweig B448;N; AS Hanau, Abzweig A3;S;492182,500;5546089,500
6133;Kelsterbach-Süd;6;HE;B;43;; Airportring;O; Abzweig A3;W;468036,000;5544163,500
6155;Kerstenhausen;6;HE;B;3;; Borken, Abzweig A49;N; Bad Zwesten, Abzweig B485;S;516050,000;5657146,500
6173;Büdingen;6;HE;B;457;; Abzweig B521;N; Büdingen;S;506896,287;5570775,378
6195;Mümling-Grumbach;6;HE;B;45;; Höchst, Abzweig B426;N; Bad König;S;499468,196;5512992,671
6201;Helmarshausen;6;HE;B;80;; Oberweser;O; Bad Karlshafen, Abzweig B83;W;534201,315;5722333,698
6202;Herzhausen;6;HE;B;252;; Abzweig B251;N; Abzweig B253;S;492138,594;5669979,225
6204;Bad Nauheim-Nord;6;HE;B;3;; Bad Nauheim;N; Abzweig B455;S;479536,000;5582731,500
6205;Hüttenthal;6;HE;B;460;; Marbach, Abzweig B45;O; Fürth-Krumbach, Abzweig B38;W;496596,480;5495974,728
6206;Bad Camberg-Erbach;6;HE;B;8;; Bad Camberg;O; AS Limburg-Süd, Abzweig A3;W;446745,000;5573833,500
6209;Nieder-Mörlen;6;HE;B;275;; Abzweig B3;O; AS Ober-Mörlen;W;479565,500;5582357,500
6212;Offenbach;6;HE;B;459;; AS Offenbach (A3), Abzweig B3;N; Abzweig B459;S;480812,835;5546056,050
6221;Langen;6;HE;B;486;; AS Langen (A661);O; AS Langen/Mörfelden (A5);W;475116,255;5538673,891
6250;Seelbach;6;HE;B;54;; Wilnsdorf;N; AS Haiger/Burbach, Abzweig A45, B277;S;440519,000;5623884,500
6260;Michelbach;6;HE;B;54;; Aarbergen;N; Bad Schwalbach, Abzweig B275;S;431780,000;5564361,500
6266;Nieder-Weisel Süd;6;HE;B;3;; Abzweig B275;N; Bad Nauheim;S;478033,000;5584785,000
6267;Ober Mörlen-Maiberg;6;HE;B;275;; AS Ober-Mörlen, Abzweig A5;O; Usingen, Abzweig B456;W;477186,500;5579473,000
6300;Okarben;6;HE;B;3;; Wöllstadt, Abzweig B45;N; Kloppenheim, Abzweig K10;S;482183,000;5566458,500
6301;Wehrheim;6;HE;B;456;; Usingen, Abzweig B275;N; Bad Homburg;S;468828,740;5570538,018
6302;Roth;6;HE;B;255;; AS Herborn-West (A45);O; Abzweig B414;W;445219,280;5611748,063
6303;Okarben-Nord;6;HE;B;3;; Wöllstadt, Abzweig B45;N; Kloppenheim, Abzweig K10;S;482587,500;5567839,500
6304;Ober-Wöllstadt Süd;6;HE;B;3;; Wöllstadt, Abzweig B45;N; Kloppenheim, Abzweig K10;S;483034,000;5570818,000
6305;Nieder-Wöllstadt;6;HE;B;3;; Wöllstadt, Abzweig B45;N; Kloppenheim, Abzweig K10;S;482917,500;5569084,000
6307;Oberems;6;HE;B;8;; Königstein, Abzweig B455;O; Waldems, Abzweig B275;W;456626,000;5565193,000
6310;Bad Vilbel;6;HE;B;521;; Bad Vilbel;O; AS Ffm.-Friedberger-Landstraße (A661);W;480685,936;5556938,826
6317;Köppern;6;HE;B;455;; Friedberg, Abzweig B3;O; AS Friedberg, Abzweig A5;W;477174,500;5570984,500
6318;Ockstadt;6;HE;B;455;; Friedberg, Abzweig B3;O; AS Friedberg, Abzweig A5;W;478674,500;5573130,000
6325;Bruchköbel;6;HE;B;45;; Bruchköbel;N; AS Hanau-Nord (A66);S;493762,459;5557249,116
6329;Ober-Wöllstadt Ost;6;HE;B;3;; Abzweig Frankfurter Straße (K24);N; Abzweig B45;S;482946,500;5572286,000
6332;Friedberg-Süd;6;HE;B;3;; Friedberg, Abzweig B455, B275;N; Wöllstadt, Abzweig B45;S;481572,000;5573788,000
6334;Friedberg-Mitte;6;HE;B;3;; Abzweig B455;N; Friedberg, Abzweig B455, B275;S;481139,500;5575975,000
6337;Bad Nauheim-Süd;6;HE;B;3;; Abzweig B455;N; Friedberg, Abzweig B455, B275;S;482646,000;5578630,000
6345;Löschenrod;6;HE;B;27;; Fulda, Frankfurter Str., Abzweig B254;N; AS Fulda-Süd (A66);S;548632,491;5593520,339
6350;Merzhausen;6;HE;B;275;; Usingen, Abzweig B456;O; Waldems, Abzweig B8;W;460895,000;5573791,000
6364;Eppertshausen;6;HE;B;45;; Rödermark, Abzweig B459;N; Abzweig B486;S;488114,500;5533623,500
6366;Obertshausen;6;HE;B;45;; Hausen;N; Abzweig Obertshausen, Abzweig B448;S;492124,500;5547461,000
6370;Idstein-Oberauroff;6;HE;B;275;; Waldems, Abzweig B8;O; Idstein;W;446722,000;5563193,000
6380;Ober-Wöllstadt Nord;6;HE;B;3;; Friedberg, Abzweig B455, B275;N; Wöllstadt, Abzweig B45;S;481965,500;5573092,500
6390;Melsungen;6;HE;B;253;; Melsungen, Abzweig B83;O; AS Melsungen (A7);W;536611,375;5664548,161
6393;Karben-Kloppenheim;6;HE;B;3;; Wöllstadt, Abzweig B45;N; Kloppenheim, Abzweig K10;S;481814,966;5564727,216
6394;Kloppenheim-Süd;6;HE;B;3;; Kloppenheim, Abzweig K10;N; AN Dortelweil, Abzweig K10;S;481214,500;5563521,500
6395;Tenne;6;HE;B;275;; Usingen, Abzweig B456;O; Waldems, Abzweig B8;W;454938,500;5570063,000
6396;Dortelweil;6;HE;B;3;; AN Dortelweil, Abzweig K10;N; AN Bad Vilbel Massenheim, Abzw. B661;S;481165,500;5561656,500
6400;Eschenhahn;6;HE;B;275;; Idstein;O; Taunusstein-Neuhof, Abzweig B417;W;445976,500;5560527,500
6402;Reinheim;6;HE;B;38;; Reinheim. Abzweig B426;N; Gersprenz, Abzweig B47;S;487543,000;5517797,500
6403;Weilburg;6;HE;B;456;; Weilburg;N; Usingen, Abzweig B275;S;449645,160;5592555,118
6404;Wetzlar-Niedergirmes;6;HE;B;49;; AS Wetzlar-Ost (A45);O; Abzweig L3020;W;467010,000;5602274,500
6405;Friedlos;6;HE;B;27;; Bebra, Abzweig B83;N; Bad Hersfeld, Abzweig B325, B62;S;552674,000;5641125,500
6407;Mörlenbach;6;HE;B;38;; Fürth-Lörzenbach, Abzweig B460;N; Weinheim, Abzweig B3;S;480409,661;5493065,544
6408;Wega;6;HE;B;253;; Abzweig B450;O; Bad Wildungen, Abzweig B485;W;511698,555;5663991,393
6409;Wetzlar-Garbenheim;6;HE;B;49;; Abzweig Wetzlar Garbenheimer Straße;O; Abzweig Wetzlar Am Forum;W;465184,000;5601416,000
6412;Ilbenstadt;6;HE;B;45;; Wöllstadt, Abzweig B3;N; Nidderau, Abzweig B521;S;486499,000;5568834,000
6426;Cölbe 2;6;HE;B;62;; Cölbe, Abzweig B3;O; Abzweig B252;W;485433,002;5633976,672
6435;Görsroth;6;HE;B;417;; Hünfelden;N; Taunusstein-Neuhof, Abzweig B275;S;442831,000;5564364,500
6452;Flörsbach;6;HE;B;276;; Flörsbachtal;N; Abzweig, Abzweig L3199;S;531127,975;5551504,694
6462;Schönstadt;6;HE;B;3;; Bad Zwesten, Abzweig B485;N; Bürgeln, Abzweig B62;S;487435,500;5635143,000
6475;Wiesbaden-Taunusstein;6;HE;B;417;; Taunusstein-Neuhof, Abzweig B275;N; Wiesbaden, Abzweig B54;S;443609,500;5553321,500
6493;Bebra;6;HE;B;83;; Rotenburg a.d. Fulda;N; Bebra, Abzweig B27;S;554974,598;5648236,797
6495;Kinzenbach;6;HE;B;429;; AS Heuchelheim, Abzweig L3020;N; Abzweig Lahnfelddreieck, Abzweig B49;S;474933,500;5602686,500
